station_id,begin_time,phase_index,phase_time,phase_score,phase_type,file_name,phase_amplitude,phase_amp
CI.WMD..HH,2020-10-01T00:00:00.008,5632,2020-10-01T00:00:56.328,0.986,P,CI.WMD.2020-10-01T00:00.mseed,0.0002514001098461449,0.0002514001098461449
CI.WMD..HH,2020-10-01T00:00:00.008,6769,2020-10-01T00:01:07.698,0.98,P,CI.WMD.2020-10-01T00:00.mseed,0.00025477251620031893,0.00025477251620031893
CI.WMD..HH,2020-10-01T00:00:00.008,7544,2020-10-01T00:01:15.448,0.977,P,CI.WMD.2020-10-01T00:00.mseed,0.00045041166595183313,0.00045041166595183313
CI.WMD..HH,2020-10-01T00:00:00.008,8320,2020-10-01T00:01:23.208,0.973,P,CI.WMD.2020-10-01T00:00.mseed,0.00021093782561365515,0.00021093782561365515
CI.WMD..HH,2020-10-01T00:00:00.008,9291,2020-10-01T00:01:32.918,0.972,P,CI.WMD.2020-10-01T00:00.mseed,0.00024959773872978985,0.00024959773872978985
CI.WMD..HH,2020-10-01T00:00:00.008,10029,2020-10-01T00:01:40.298,0.959,P,CI.WMD.2020-10-01T00:00.mseed,0.00019170813902746886,0.00019170813902746886
CI.WMD..HH,2020-10-01T00:00:00.008,11301,2020-10-01T00:01:53.018,0.672,P,CI.WMD.2020-10-01T00:00.mseed,0.00017013662727549672,0.00017013662727549672
CI.WMD..HH,2020-10-01T00:00:00.008,12230,2020-10-01T00:02:02.308,0.95,P,CI.WMD.2020-10-01T00:00.mseed,0.00039378376095555723,0.00039378376095555723
CI.WMD..HH,2020-10-01T00:00:00.008,13440,2020-10-01T00:02:14.408,0.918,P,CI.WMD.2020-10-01T00:00.mseed,0.0007061269716359675,0.0007061269716359675
CI.WMD..HH,2020-10-01T00:00:00.008,13972,2020-10-01T00:02:19.728,0.413,P,CI.WMD.2020-10-01T00:00.mseed,0.0005768817500211298,0.0005768817500211298
CI.WMD..HH,2020-10-01T00:00:00.008,14281,2020-10-01T00:02:22.818,0.578,P,CI.WMD.2020-10-01T00:00.mseed,0.0011939668329432607,0.0011939668329432607
CI.WMD..HH,2020-10-01T00:00:00.008,15540,2020-10-01T00:02:35.408,0.39,P,CI.WMD.2020-10-01T00:00.mseed,0.00041356327710673213,0.00041356327710673213
CI.WMD..HH,2020-10-01T00:00:00.008,17165,2020-10-01T00:02:51.658,0.327,P,CI.WMD.2020-10-01T00:00.mseed,0.00016716202662792057,0.00016716202662792057
CI.WMD..HH,2020-10-01T00:00:00.008,17398,2020-10-01T00:02:53.988,0.339,P,CI.WMD.2020-10-01T00:00.mseed,0.00022154368343763053,0.00022154368343763053
CI.WMD..HH,2020-10-01T00:00:00.008,1699,2020-10-01T00:00:16.998,0.759,S,CI.WMD.2020-10-01T00:00.mseed,4.447607716429047e-05,4.447607716429047e-05
CI.WMD..HH,2020-10-01T00:00:00.008,3292,2020-10-01T00:00:32.928,0.923,S,CI.WMD.2020-10-01T00:00.mseed,0.0002006390132009983,0.0002006390132009983
CI.WMD..HH,2020-10-01T00:00:00.008,4073,2020-10-01T00:00:40.738,0.754,S,CI.WMD.2020-10-01T00:00.mseed,6.454427057178691e-05,6.454427057178691e-05
